Country,Latest_Score,Latest_Year,Forecast_2030,Change,Percent_Change
LIE,0.7947217617736235,2022,0.801699530803076,0.006977769029452463,0.88
NOR,0.7571105465484771,2022,0.7727580576638763,0.015647511115399193,2.07
FIN,0.7472366474433226,2022,0.7665381514825166,0.01930150403919395,2.58
SWE,0.7563601189651777,2022,0.7654935962562065,0.009133477291028758,1.21
EST,0.7177636280659835,2022,0.7415127231016069,0.02374909503562339,3.31
BTN,0.7242134897610488,2022,0.7388555400006224,0.014642050239573545,2.02
SVN,0.7215985762887046,2022,0.7383346691131651,0.016736092824460536,2.32
LUX,0.7124528582089786,2022,0.7379241516565894,0.025471293447610788,3.58
LAO,0.7060927834771583,2022,0.7341123355663263,0.028019552089167954,3.97
GAB,0.7078940109071823,2022,0.7272106128754161,0.019316601968233815,2.73
SLB,0.6992542353501071,2022,0.7251922809324921,0.025938045582384994,3.71
PRT,0.6882681280780368,2022,0.7196775675544168,0.031409439476379974,4.56
CHE,0.7046325639250635,2022,0.7177030413354354,0.013070477410371928,1.85
KOR,0.7101198765093301,2022,0.7173165986093754,0.007196722100045294,1.01
BIH,0.6530469016958348,2022,0.716322329028381,0.06327542733254621,9.69
LVA,0.7044944887057868,2022,0.7136359147905181,0.009141426084731341,1.3
MCO,0.6892653598689246,2022,0.7128665337553416,0.023601173886417026,3.42
ISL,0.7177697484056522,2022,0.7083798324089531,-0.009389915996699139,-1.31
BRN,0.6850692084943074,2022,0.7074944466318712,0.022425238137563808,3.27
JPN,0.701094807722033,2022,0.7053289577807126,0.004234150058679553,0.6
AUT,0.7025543200487547,2022,0.7049746423900416,0.0024203223412868624,0.34
WSM,0.6871136993318934,2022,0.700087905306983,0.012974205975089581,1.89
NZL,0.6876708400529453,2022,0.6980944955947563,0.010423655541811017,1.52
DNK,0.6759659947241491,2022,0.6980387268007658,0.022072732076616752,3.27
HRV,0.6736041902064509,2022,0.6979942550419334,0.02439006483548245,3.62
IRL,0.6608453949925415,2022,0.6952247292742174,0.034379334281675944,5.2
SGP,0.6784454113425884,2022,0.6881298326016289,0.009684421259040454,1.43
ITA,0.6711464459441587,2022,0.6849921635608969,0.01384571761673814,2.06
ESP,0.6601552769987995,2022,0.6840524408562769,0.02389716385747742,3.62
SRB,0.6450538047126246,2022,0.6822568721935712,0.037203067480946594,5.77
CYP,0.6511795679977129,2022,0.682115293097961,0.030935725100248113,4.75
BRA,0.6897875485877638,2022,0.6798461159680722,-0.009941432619691604,-1.44
TLS,0.6218579740860929,2022,0.677758623665152,0.05590064957905916,8.99
LKA,0.6690609261273673,2022,0.6777430104562401,0.008682084328872741,1.3
GRC,0.6360703412727811,2022,0.6760865976807092,0.040016256407928164,6.29
SUR,0.6778069194215907,2022,0.6746353963474807,-0.00317152307410995,-0.47
CAN,0.677092086812261,2022,0.674322087100531,-0.0027699997117299757,-0.41
VNM,0.6754909872730628,2022,0.6728616935407037,-0.002629293732359095,-0.39
MNE,0.6791971870160374,2022,0.6722066383655418,-0.006990548650495532,-1.03
ALB,0.6559675812690571,2022,0.6710321094719113,0.0150645282028542,2.3
DEU,0.6629076774779472,2022,0.6710312042889276,0.008123526810980386,1.23
LTU,0.673480016807487,2022,0.6709859682649404,-0.002494048542546645,-0.37
SYC,0.6653695375515356,2022,0.6704839511492997,0.0051144135977641,0.77
PLW,0.6701356733461671,2022,0.6690982337779816,-0.001037439568185472,-0.15
POL,0.6578447873186355,2022,0.6683719899832432,0.010527202664607715,1.6
MYS,0.6692268215991453,2022,0.6683195417891681,-0.0009072798099771795,-0.14
MMR,0.6461778223777128,2022,0.6663624019158946,0.020184579538181757,3.12
THA,0.6684157878955094,2022,0.6647174534667993,-0.0036983344287100373,-0.55
AUS,0.6514090715240771,2022,0.6639545941153531,0.012545522591275948,1.93
ECU,0.6727268850159616,2022,0.6637938357069149,-0.008933049309046703,-1.33
PER,0.6770978166786106,2022,0.6620089477547783,-0.015088868923832321,-2.23
BGR,0.6524146655104835,2022,0.661138717139646,0.008724051629162455,1.34
FRA,0.6455019264972122,2022,0.6594233302490008,0.01392140375178863,2.16
PAN,0.6781034606858712,2022,0.6591179372842765,-0.01898552340159476,-2.8
URY,0.6729041180907587,2022,0.6586235831929735,-0.014280534897785135,-2.12
GTM,0.6621536433329757,2022,0.6580813118777243,-0.004072331455251321,-0.62
CUB,0.6674847955053429,2022,0.6572023637758697,-0.010282431729473185,-1.54
USA,0.6598158159742562,2022,0.6560861524725994,-0.0037296635016568214,-0.57
ZMB,0.6328850757821718,2022,0.6553875431637306,0.02250246738155881,3.56
CHN,0.6400659901016554,2022,0.6553334296457021,0.015267439544046635,2.39
CZE,0.6495396747071424,2022,0.6542340018380058,0.004694327130863485,0.72
PRY,0.6777353598765785,2022,0.6536888393486493,-0.024046520527929216,-3.55
KHM,0.6687522325700782,2022,0.6536855870823868,-0.015066645487691432,-2.25
CRI,0.6872777915214289,2022,0.6534615247485807,-0.033816266772848214,-4.92
BEL,0.6380765345013507,2022,0.6527490016748334,0.014672467173482695,2.3
NLD,0.6333072749158948,2022,0.6523426610426661,0.01903538612677136,3.01
QAT,0.6574407107347255,2022,0.6523261481945797,-0.005114562540145862,-0.78
RUS,0.6500140540875585,2022,0.6520168473735485,0.0020027932859899567,0.31
SMR,0.6454133668555645,2022,0.6505292301745785,0.005115863319014036,0.79
BLR,0.6442242704352127,2022,0.6504795399628157,0.006255269527603025,0.97
CMR,0.6281067580136938,2022,0.6492680232033226,0.021161265189628797,3.37
VEN,0.6240249404835104,2022,0.649084215335289,0.025059274851778612,4.02
SVK,0.634590822623563,2022,0.6490836679079304,0.01449284528436734,2.28
DMA,0.6312872886629322,2022,0.648912972845143,0.017625684182210888,2.79
FJI,0.6410836594510757,2022,0.6445896974917591,0.00350603804068339,0.55
MLT,0.6304533718977733,2022,0.6439211849430496,0.013467813045276333,2.14
MKD,0.6176084645238462,2022,0.6433550403062094,0.025746575782363168,4.17
TZA,0.6317646932403216,2022,0.6419540622985399,0.010189369058218323,1.61
ROU,0.6491415804081913,2022,0.6419117312701349,-0.0072298491380563545,-1.11
HND,0.6603995158043812,2022,0.6411752644970659,-0.01922425130731531,-2.91
DOM,0.6448126595887071,2022,0.6410813708154784,-0.0037312887732287026,-0.58
NPL,0.6382028811177172,2022,0.6396334621295301,0.0014305810118129259,0.22
GBR,0.6297850916224867,2022,0.638062072338691,0.008276980716204307,1.31
PHL,0.6352539113374045,2022,0.6378862948799255,0.002632383542521044,0.41
MHL,0.6211247822122035,2022,0.6373196735805143,0.01619489136831087,2.61
ARE,0.6268820796168173,2022,0.63727350757701,0.010391427960192656,1.66
HUN,0.6389184168816968,2022,0.6369696376537259,-0.001948779227970876,-0.31
JAM,0.6252732612061624,2022,0.636732085782489,0.01145882457632652,1.83
TTO,0.6444263334768051,2022,0.6352791084287515,-0.009147225048053653,-1.42
GNB,0.5951650731819352,2022,0.6340265564053948,0.038861483223459614,6.53
GEO,0.6307214682612108,2022,0.6337507665256227,0.003029298264411895,0.48
STP,0.6288018349659443,2022,0.6328445534890448,0.0040427185231004525,0.64
ISR,0.6200948020059576,2022,0.6311708438424698,0.01107604183651223,1.79
MEX,0.6399936830982453,2022,0.6310502482367771,-0.008943434861468202,-1.4
IDN,0.6465273815077067,2022,0.6309621889353839,-0.015565192572322806,-2.41
CHL,0.644232203053624,2022,0.6303563562369588,-0.013875846816665205,-2.15
GUY,0.6496511509196795,2022,0.6281000674481825,-0.021551083471497035,-3.32
SLV,0.6239902766456519,2022,0.6241957485202396,0.00020547187458774818,0.03
KGZ,0.6126033554799274,2022,0.6210598675277197,0.008456512047792297,1.38
GRD,0.6171930652158999,2022,0.6208222940867061,0.0036292288708061893,0.59
COL,0.6568731120754587,2022,0.620620486168074,-0.03625262590738476,-5.52
GHA,0.593479287502877,2022,0.6198768025650081,0.02639751506213106,4.45
BLZ,0.6509606331575498,2022,0.6191619365791647,-0.03179869657838508,-4.88
NIC,0.631438836004143,2022,0.6189486381500141,-0.01249019785412886,-1.98
PRK,0.6127138748553592,2022,0.6181216525975826,0.005407777742223341,0.88
BGD,0.5892095005094028,2022,0.6167109558228085,0.027501455313405754,4.67
AND,0.6132451569845232,2022,0.6155876692429217,0.0023425122583985436,0.38
LBR,0.6010653949121574,2022,0.6149772650606343,0.013911870148476946,2.31
BHR,0.6160258787983403,2022,0.6146264796035584,-0.0013993991947818252,-0.23
UGA,0.5849209137958575,2022,0.6139313005776416,0.029010386781784026,4.96
ATG,0.612477249508938,2022,0.6137126348138865,0.0012353853049484886,0.2
IND,0.5963771157516228,2022,0.6133687049203692,0.016991589168746435,2.85
BHS,0.6169821013901684,2022,0.6118811202403956,-0.005100981149772754,-0.83
MDV,0.6038482832333172,2022,0.611630663805108,0.0077823805717908145,1.29
COD,0.6000925234961546,2022,0.6101476807834083,0.010055157287253702,1.68
BOL,0.6220054998393633,2022,0.6089834353187084,-0.013022064520654908,-2.09
KWT,0.6177755373014961,2022,0.6052870111020329,-0.012488526199463279,-2.02
VUT,0.5890060392277225,2022,0.6032831811215398,0.014277141893817236,2.42
KEN,0.57516652910204,2022,0.603215303434461,0.028048774332420923,4.88
SAU,0.5996449490090653,2022,0.6008120704957867,0.0011671214867213786,0.19
ERI,0.5723963486119992,2022,0.6004568100125799,0.028060461400580716,4.9
MDA,0.6107428294446258,2022,0.5998639494140036,-0.010878880030622207,-1.78
KIR,0.5907303525170683,2022,0.5995442474712563,0.00881389495418805,1.49
TUR,0.6079535591242626,2022,0.597393677479627,-0.010559881644635616,-1.74
MNG,0.5795747552616701,2022,0.5964507393792232,0.01687598411755309,2.91
PNG,0.5857740747929612,2022,0.5949569163263546,0.009182841533393438,1.57
MDG,0.5729884178579255,2022,0.5934890955449706,0.02050067768704511,3.58
TGO,0.5689029944524862,2022,0.5909886541633431,0.022085659710856964,3.88
GNQ,0.5967508143530438,2022,0.5908971635175702,-0.005853650835473623,-0.98
TON,0.5935293093387342,2022,0.5891500253935755,-0.00437928394515863,-0.74
ARG,0.600935685847234,2022,0.58558797485829,-0.015347710988944052,-2.55
BRB,0.5834826822595247,2022,0.5838100952464496,0.00032741298692484655,0.06
COG,0.5760515762079454,2022,0.5837101498132755,0.007658573605330066,1.33
MUS,0.5962525193724909,2022,0.5827039019821038,-0.013548617390387152,-2.27
UZB,0.5800263995904722,2022,0.5813462982304235,0.0013198986399513002,0.23
TKM,0.5771330371089148,2022,0.577581982480794,0.000448945371879117,0.08
AZE,0.5913527021505842,2022,0.5773419571062228,-0.014010745044361395,-2.37
UKR,0.5728599647550249,2022,0.5773407409665262,0.004480776211501336,0.78
TJK,0.5908218300575717,2022,0.5764982128528734,-0.014323617204698325,-2.42
CPV,0.5782942510171314,2022,0.5751345121673763,-0.003159738849755067,-0.55
KAZ,0.5824985271302399,2022,0.5749705472474348,-0.007527979882805069,-1.29
RWA,0.5400587724342247,2022,0.5723704226986478,0.032311650264423064,5.98
ETH,0.5558528495953478,2022,0.5719108736738299,0.016058024078482114,2.89
OMN,0.5876707879857527,2022,0.5713870472071391,-0.01628374077861361,-2.77
SEN,0.5592906246722811,2022,0.5681577723940654,0.008867147721784319,1.59
ARM,0.5722414635095449,2022,0.5652655127224047,-0.006975950787140195,-1.22
TUV,0.5624415676310796,2022,0.5638447719836821,0.0014032043526025495,0.25
MAR,0.5598807436912776,2022,0.5629309817570225,0.0030502380657448924,0.54
MOZ,0.5502392177965469,2022,0.5629069677928079,0.012667749996260969,2.3
CIV,0.5135211015106951,2022,0.5566067887252085,0.043085687214513446,8.39
NGA,0.5444808868315961,2022,0.5547273286995187,0.010246441867922562,1.88
AGO,0.5341021392647156,2022,0.5535782046207085,0.01947606535599289,3.65
BEN,0.5169582795164226,2022,0.5529231966602207,0.035964917143798125,6.96
EGY,0.5247547311918385,2022,0.5500030519780112,0.025248320786172784,4.81
SYR,0.5212374239704586,2022,0.5495425626379472,0.028305138667488627,5.43
IRN,0.5484920901026451,2022,0.5462158544133328,-0.0022762356893123448,-0.41
COM,0.5533945548922345,2022,0.540598331594338,-0.012796223297896536,-2.31
ZWE,0.5780246074589541,2022,0.5351843319832376,-0.04284027547571656,-7.41
JOR,0.5410233289022366,2022,0.5336352619331349,-0.007388066969101659,-1.37
SLE,0.5072876517426778,2022,0.5335784083604218,0.02629075661774405,5.18
DZA,0.533249870510632,2022,0.533216098980537,-3.377153009498368e-05,-0.01
HTI,0.5082408633218185,2022,0.5316968754201564,0.02345601209833792,4.62
GMB,0.5224834289791516,2022,0.5297794906809433,0.007296061701791756,1.4
TUN,0.5394369311469032,2022,0.5296870548044973,-0.009749876342405872,-1.81
NRU,0.5158992922562474,2022,0.5242112928512884,0.008312000595041003,1.61
GIN,0.4992158993629285,2022,0.5238081061456759,0.024592206782747372,4.93
PAK,0.5382484158759516,2022,0.5225372729186711,-0.01571114295728049,-2.92
BDI,0.5195202802613441,2022,0.5197392806628804,0.00021900040153632894,0.04
IRQ,0.5167577470977918,2022,0.5009496622627125,-0.015808084835079228,-3.06
SDN,0.49765906148364436,2022,0.49723615179162,-0.0004229096920243536,-0.08
BWA,0.5096308109706893,2022,0.49337813744184367,-0.01625267352884563,-3.19
MWI,0.49205554199765716,2022,0.4932762298741029,0.0012206878764457474,0.25
SWZ,0.5062171231415965,2022,0.4900555672157933,-0.016161555925803206,-3.19
MLI,0.4833202452450982,2022,0.4857999722154092,0.0024797269703110136,0.51
CAF,0.4775818913548352,2022,0.48255690152250363,0.004975010167668437,1.04
NAM,0.4607995204196544,2022,0.4741373188100189,0.01333779839036453,2.89
LSO,0.42854833153507726,2022,0.4692780010978326,0.04072966956275531,9.5
LBN,0.5345755150632034,2022,0.4686899806020921,-0.06588553446111134,-12.32
NER,0.4645619959995738,2022,0.4659308109352353,0.0013688149356614887,0.29
SOM,0.47519809890918147,2022,0.4655349859614129,-0.00966311294776856,-2.03
LBY,0.4605683946153615,2022,0.4609673309709562,0.0003989363555947367,0.09
AFG,0.42809587780265496,2022,0.4481630176100862,0.020067139807431245,4.69
BFA,0.4514854490860306,2022,0.441946425260265,-0.009539023825765602,-2.11
DJI,0.4326533780909957,2022,0.43936190821356524,0.006708530122569556,1.55
MRT,0.43996954936371235,2022,0.43363180099457826,-0.0063377483691340886,-1.44
ZAF,0.44332647406306713,2022,0.43034532520911806,-0.012981148853949076,-2.93
TCD,0.4007265612497182,2022,0.4142865559773533,0.013559994727635083,3.38
YEM,0.40982979553696564,2022,0.4004603883262666,-0.00936940721069901,-2.29
SSD,0.3418779222261765,2022,0.32448498369611567,-0.017392938530060853,-5.09
